what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338115519447
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338115520346
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338115532491
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338115568264
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338115568391
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338115570004
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1338115579968
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1338115584278
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1338115585149
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1338115587414
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338115608651
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338115659660
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1338115674247
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1338115677781
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1338115678673
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1338115699952
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1338115700135
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1338115700274
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1338115702477
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1338115707065
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338115711108
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338115720857
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1338115748449
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1338115750789
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1338115761031
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1338115762712
